title,release,director,budget,opening,gross,worldwide_gross,metacritic_score,mpaa_rating,budget_mil,opening_mil,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,leadActor
The House with a Clock in Its Walls,2018-09-21,Eli Roth,42000000,26608020,68549695,131523093,57,PG,42.0,26.60802,tt2119543,movie,The House with a Clock in Its Walls,The House with a Clock in Its Walls,0,2018,105,Comedy,6.1,46755,nm0888743
Hacksaw Ridge,2016-11-04,Mel Gibson,40000000,15190758,67209615,180450918,71,R,40.0,15.190758,tt2119532,movie,Hacksaw Ridge,Hacksaw Ridge,0,2016,139,Biography,8.1,445967,nm0202704
Pixels,2015-07-24,Chris Columbus,88000000,24011616,78747585,244874809,27,PG-13,88.0,24.011616,tt2120120,movie,Pixels,Pixels,0,2015,105,Action,5.5,133474,nm0055431
Collide,2017-02-24,Eran Creevy,21500000,1512824,2280004,6817535,33,PG-13,21.5,1.512824,tt2126235,movie,Collide,Collide,0,2016,99,Action,5.7,15244,nm2271939
San Andreas,2015-05-29,Brad Peyton,110000000,54588173,155190832,473990832,43,PG-13,110.0,54.588173,tt2126355,movie,San Andreas,San Andreas,0,2015,114,Action,6.1,215634,nm0193681
Second Act,2018-12-21,Peter Segal,16000000,6489983,39282227,72294066,46,PG-13,16.0,6.489983,tt2126357,movie,Second Act,Second Act,0,2018,103,Comedy,5.8,23305,nm0028787
Born to Be Blue,2016-03-30,Robert Budreau,6500000,14069,830129,1553337,64,R,6.5,0.014069,tt2133196,movie,Born to Be Blue,Born to Be Blue,0,2015,97,Biography,6.9,8110,nm0780655
Jane Got a Gun,2016-01-29,Gavin O'Connor,25000000,835572,1513793,3067531,49,R,25.0,0.835572,tt2140037,movie,Jane Got a Gun,Jane Got a Gun,0,2015,98,Action,5.9,21009,nm3929259
Self/less,2015-07-10,Tarsem Singh,26000000,5403460,12279691,31807156,34,PG-13,26.0,5.40346,tt2140379,movie,Self/less,Self/less,0,2015,117,Action,6.5,91624,nm0772283
The Accountant,2016-10-14,Gavin O'Connor,44000000,24710273,86260045,155160045,51,R,44.0,24.710273,tt2140479,movie,The Accountant,The Accountant,0,2016,128,Action,7.3,265394,nm4057793
Run All Night,2015-03-13,Jaume Collet-Serra,50000000,11012305,26461644,71561644,59,R,50.0,11.012305,tt2199571,movie,Run All Night,Run All Night,0,2015,114,Action,6.6,103219,nm0915819
Home,2015-03-27,Tim Johnson,135000000,52107731,177397510,386041607,55,PG,135.0,52.107731,tt2224026,movie,Home,Home,0,2015,94,Adventure,6.6,92925,nm1330174
The Mountain Between Us,2017-10-06,Hany Abu-Assad,35000000,10551336,30348555,62832209,48,PG-13,35.0,10.551336,tt2226597,movie,The Mountain Between Us,The Mountain Between Us,0,2017,112,Action,6.4,68723,nm0328987
Rampage,2018-04-13,Brad Peyton,120000000,35753093,101028233,428028233,45,PG-13,120.0,35.753093,tt2231461,movie,Rampage,Rampage,0,2018,107,Action,6.1,147241,nm1186373
Valerian and the City of a Thousand Planets,2017-07-21,Luc Besson,177200000,17007624,41189488,225973340,51,PG-13,177.2,17.007624,tt2239822,movie,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,0,2017,136,Action,6.5,164960,nm0005636
