title,release,startYear,top3_actors
Chasing Mavericks,2012-10-26,2012,"['Gerard Butler', 'Jonny Weston', 'Elisabeth Shue']"
Silent Hill: Revelation,2012-10-26,2012,"['Adelaide Clemens', 'Kit Harington', 'Carrie-Anne Moss']"
Cloud Atlas,2012-10-26,2012,"['Tom Hanks', 'Halle Berry', 'Jim Broadbent']"
Bad Blood,2012-10-26,2012,"['Kim Coates', 'Louis Ferreira', 'Sharon Taylor']"
Vamps,2012-11-02,2012,"['Alicia Silverstone', 'Krysten Ritter', 'Larry Wilmore']"
Wreck-It Ralph,2012-11-02,2012,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer']"
Skyfall,2012-11-09,2012,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']"
The Sessions,2012-11-16,2012,"['John Hawkes', 'Helen Hunt', 'William H. Macy']"
The Twilight Saga: Breaking Dawn - Part 2,2012-11-16,2012,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']"
Lincoln,2012-11-16,2012,"['Daniel Day-Lewis', 'Sally Field', 'David Strathairn']"
Life of Pi,2012-11-21,2012,"['Suraj Sharma', 'Irrfan Khan', 'Ayush Tandon']"
Rise of the Guardians,2012-11-21,2012,"['Chris Pine', 'Alec Baldwin', 'Jude Law']"
Stolen,2012-11-28,2012,"['Nicolas Cage', 'Josh Lucas', 'Danny Huston']"
The Collection,2012-11-30,2012,"['Josh Stewart', 'Emma Fitzpatrick', 'Christopher McDonald']"
Killing Them Softly,2012-11-30,2012,"['Brad Pitt', 'Scoot McNairy', 'Ben Mendelsohn']"
Silent Night,2012-12-04,2012,"['Matthew Goode', 'Annabelle Wallis', 'Lily-Rose Depp']"
Deadfall,2012-12-05,2012,"['Eric Bana', 'Olivia Wilde', 'Charlie Hunnam']"
Playing for Keeps,2012-12-07,2012,"['Gerard Butler', 'Jessica Biel', 'Noah Lomax']"
Hitchcock,2012-12-14,2012,"['Anthony Hopkins', 'Helen Mirren', 'Scarlett Johansson']"
Les Misérables,2012-12-25,2012,"['Hugh Jackman', 'Russell Crowe', 'Anne Hathaway']"
Silver Linings Playbook,2012-12-25,2012,"['Bradley Cooper', 'Jennifer Lawrence', 'Robert De Niro']"
Officer Down,2013-01-11,2013,"['Stephen Dorff', 'Kaitlyn Black', 'Johnny Messner']"
Gangster Squad,2013-01-11,2013,"['Sean Penn', 'Holt McCallany', 'Wade Williams']"
Zero Dark Thirty,2013-01-11,2012,"['Jason Clarke', 'Reda Kateb', 'Jessica Chastain']"
Mama,2013-01-18,2013,"['Allison Janney', 'Anna Faris', 'Mimi Kennedy']"
Broken City,2013-01-18,2013,"['Mark Wahlberg', 'Russell Crowe', 'Catherine Zeta-Jones']"
Hansel & Gretel: Witch Hunters,2013-01-25,2013,"['Jeremy Renner', 'Gemma Arterton', 'Famke Janssen']"
Parker,2013-01-25,2013,"['Jason Statham', 'Jennifer Lopez', 'Michael Chiklis']"
Bullet to the Head,2013-02-01,2012,"['Sylvester Stallone', 'Sung Kang', 'Sarah Shahi']"
Warm Bodies,2013-02-01,2013,"['Nicholas Hoult', 'Teresa Palmer', 'Analeigh Tipton']"
Stand Up Guys,2013-02-01,2012,"['Al Pacino', 'Christopher Walken', 'Alan Arkin']"
Upside Down,2013-02-06,2012,"['Jim Sturgess', 'Kirsten Dunst', 'Timothy Spall']"
The First Time,2013-02-07,2012,"['Britt Robertson', ""Dylan O'Brien"", 'Craig Roberts']"
Identity Thief,2013-02-08,2013,"['Jason Bateman', 'Melissa McCarthy', 'Jon Favreau']"
Side Effects,2013-02-08,2013,"['Rooney Mara', 'Carmen Pelaez', 'Marin Ireland']"
Beautiful Creatures,2013-02-14,2013,"['Alden Ehrenreich', 'Alice Englert', 'Jeremy Irons']"
Safe Haven,2013-02-14,2013,"['Julianne Hough', 'Irene Ziegler', 'Jon Kohler']"
The Power of Few,2013-02-15,2013,"['Christopher Walken', ""Q'orianka Kilcher"", 'Christian Slater']"
Escape from Planet Earth,2013-02-15,2012,"['Brendan Fraser', 'Rob Corddry', 'Ricky Gervais']"
Snitch,2013-02-22,2013,"['Dwayne Johnson', 'Barry Pepper', 'Jon Bernthal']"
Dark Skies,2013-02-22,2013,"['Ian Ziering', 'Tara Reid', 'John Heard']"
Line of Duty,2013-02-23,2013,"['Adrian Dunbar', 'Martin Compston', 'Vicky McClure']"
Phantom,2013-03-01,2013,"['Billy Zane', 'Kristy Swanson', 'Treat Williams']"
The Sweeney,2013-03-01,2012,"['John Thaw', 'Dennis Waterman', 'Garfield Morgan']"
Stoker,2013-03-01,2013,"['Mia Wasikowska', 'Nicole Kidman', 'David Alford']"
Jack the Giant Slayer,2013-03-01,2013,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor']"
Dead Man Down,2013-03-08,2013,"['Colin Farrell', 'Noomi Rapace', 'Terrence Howard']"
Oz the Great and Powerful,2013-03-08,2013,"['James Franco', 'Mila Kunis', 'Rachel Weisz']"
Welcome to the Punch,2013-03-15,2013,"['James McAvoy', 'Mark Strong', 'Andrea Riseborough']"
The Call,2013-03-15,2013,"['Park Shin-Hye', 'Jong-seo Jun', 'Sung-ryung Kim']"
Admission,2013-03-22,2013,"['Tina Fey', 'Ann Harada', 'Ben Levin']"
The Croods,2013-03-22,2013,"['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds']"
A Resurrection,2013-03-22,2013,"['Mischa Barton', 'Devon Sawa', 'Michael Clarke Duncan']"
G.I. Joe: Retaliation,2013-03-28,2013,"['Dwayne Johnson', 'Jonathan Pryce', 'Lee Byung-Hun']"
The Host,2013-03-29,2013,"['Kang-ho Song', 'Byun Hee-Bong', 'Park Hae-il']"
Underdogs,2013-04-06,2013,"['Vince Vaughn', 'Christine Taylor', 'Ben Stiller']"
